Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Garouani M., Ahmad A., Bouneffa M., Hamlich M., Bourguin G., Lewandowski A.","57226345482;57192646034;19337242800;55611586400;55914522900;23397053000;","Using meta-learning for automated algorithms selection and configuration: an experimental framework for industrial big data",2022,"Journal of Big Data","9","1","57","","",,1,"10.1186/s40537-022-00612-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129057794&doi=10.1186%2fs40537-022-00612-4&partnerID=40&md5=35693574bd6ffa8f22c5a71f3226dbe5","Advanced analytics are fundamental to transform large manufacturing data into resourceful knowledge for various purposes. In its very nature, such “industrial big data” can relay its usefulness to reach further utilitarian applications. In this context, Machine Learning (ML) is among the major predictive modeling approaches that can enable manufacturing researchers and practitioners to improve the product quality and achieve resource efficiency by exploiting large amounts of data (which is collected during manufacturing process). However, disposing ML algorithms is a challenging task for manufacturing industrial actors due to the prior specification of one or more algorithms hyperparameters (HPs) and their values. Moreover, manufacturing industrial actors often lack the technical expertise to apply advanced analytics. Consequently, it necessitates frequent consultations with data scientists; but such collaborations tends to cost the delays, which can generate the risks such as human-resource bottlenecks. As the complexity of these tasks increases, so does the demand for support solutions. In response, the field of automated ML (AutoML) is a data mining-based formalism that aims to reduce human effort and speedup the development cycle through automation. In this regard, existing approaches include evolutionary algorithms, Bayesian optimization, and reinforcement learning. These approaches mainly focus on providing the user assistance by automating the partial or entire data analysis process, but they provide very limited details concerning their impact on the analysis. The major goal of these conventional approaches has been generally focused on the performance factors, while the other important and even crucial aspects such as computational complexity are rather omitted. Therefore, in this paper, we present a novel meta-learning based approach to automate ML predictive models built over the industrial big data. The approach is leveraged with development of, AMLBID, an Automated ML tool for Big Industrial Data analyses. It attempts to support the manufacturing engineers and researchers who presumably have meager skills to carry out the advanced analytics. The empirical results show that AMLBID surpasses the state-of-the-art approaches and could retrieve the usefulness of large manufacturing data to prosper the research in manufacturing domain and improve the use of predictive models instead of precluding their outcomes. © 2022, The Author(s).",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85129057794
"Müller D., Müller M.G., Kress D., Pesch E.","57204680556;57207400805;44661350000;6601957889;","An algorithm selection approach for the flexible job shop scheduling problem: Choosing constraint programming solvers through machine learning",2022,"European Journal of Operational Research","302","3",,"874","891",,2,"10.1016/j.ejor.2022.01.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124380510&doi=10.1016%2fj.ejor.2022.01.034&partnerID=40&md5=5cfa40a52cc37b8c70cfa7a3cc823dfa","Constraint programming solvers are known to perform remarkably well for most scheduling problems. However, when comparing the performance of different available solvers, there is usually no clear winner over all relevant problem instances. This gives rise to the question of how to select a promising solver when knowing the concrete instance to be solved. In this article, we aim to provide first insights into this question for the flexible job shop scheduling problem. We investigate relative performance differences among five constraint programming solvers on problem instances taken from the literature as well as randomly generated problem instances. These solvers include commercial and non-commercial software and represent the state-of-the-art as identified in the relevant literature. We find that two solvers, the IBM ILOG CPLEX CP Optimizer and Google's OR-Tools, outperform alternative solvers. These two solvers show complementary strengths regarding their ability to determine provably optimal solutions within practically reasonable time limits and their ability to quickly determine high quality feasible solutions across different test instances. Hence, we leverage the resulting performance complementarity by proposing algorithm selection approaches that predict the best solver for a given problem instance based on instance features or parameters. The approaches are based on two machine learning techniques, decision trees and deep neural networks, in various variants. In a computational study, we analyze the performance of the resulting algorithm selection models and show that our approaches outperform the use of a single solver and should thus be considered as a relevant tool by decision makers in practice. © 2022 Elsevier B.V.",Article,"Final","",Scopus,2-s2.0-85124380510
"Zhou Y.","57191995034;","A regression learner-based approach for battery cycling ageing prediction―advances in energy management strategy and techno-economic analysis",2022,"Energy","256",,"124668","","",,2,"10.1016/j.energy.2022.124668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133734943&doi=10.1016%2fj.energy.2022.124668&partnerID=40&md5=131ab01a3d61875f50b175ac46dd13d3","Renewable energy planning, electrochemical battery storages and advanced energy management strategies are flexible solutions for transformation towards smart grids, whereas the complex battery cycling ageing is nonlinearly dependent on intermittent renewable supply, stochastic load profiles and dynamic charging/discharging behaviors. In this study, a nonlinear mathematical model is developed to explore effective strategies for smart grids. A general regression learner-based battery cycling ageing prediction method is proposed for quantifications of lifetime battery cycling ageing and battery replacement times, including the database preparation, surrogate model training with typical feature extraction and classification, cross-validation, and performance prediction in various battery groups. A machine learning (ML) algorithm selection approach is proposed through the statistical analysis, to guide the accurate surrogate model development, considering the diversity in dynamic charging/discharging behaviours and intrinsic cycling ageing performances of each battery. Afterwards, a novel battery discharging control strategy is proposed, to address the contradiction between the economic cost-saving and the associated battery replacement cost. Last but not the least, the machine learning-based models are thereafter integrated in the district energy community for technical performance analysis. This study can provide a regression learner-based battery cycling ageing modelling method, a machine learning algorithm selection approach, and a holistic framework for systematic integration with avoidance on techno-economic performance overestimation, which is critical to guide renewable energy planning, electrochemical battery storages, and advanced energy management strategies. © 2022 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85133734943
"Xie Z., Yu Y., Zhang J., Chen M.","57218550216;57786595300;57221658393;55733270200;","The searching artificial intelligence: Consumers show less aversion to algorithm-recommended search product",2022,"Psychology and Marketing","39","10",,"1902","1919",,,"10.1002/mar.21706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133599045&doi=10.1002%2fmar.21706&partnerID=40&md5=fd91a707d7dd985b554fc238bcc82a69","Though artificial intelligence (AI) recommendation is a hot topic in recent marketing research, previous research has shown a convergent tendency for aversion to AI recommendation. It is imperative to find ways to promote AI usage and reduce consumers’ AI aversion. This study fills this void by exploring the effect of AI (vs. human) recommenders on consumers’ preferences for search versus experience products in the context of e-commerce. Two studies provide convergent evidence that consumers show less avoidance of algorithms when recommending search products compared to experience products. A behavioral experiment (Study 1, N = 112) validates that consumers are less likely to purchase experience products recommended by AI, while there are no significant differences between AI versus human recommenders when recommending search products. Using event-related potential (ERP), a further consumer neuroscience study (Study 2, N = 26) shows that consumers have a higher level of cognitive conflict (i.e., a larger magnitude of N2) when AI (vs. human) recommends experience products, while the effect disappears for search products. This paper shows that for search products, marketers can obtain similar evaluations using AI recommenders, which is relatively cheaper and more time-saving compared with human recommenders. Therefore, our work provides important implications for theory and practice on e-commerce and marketing communication. © 2022 Wiley Periodicals LLC.",Article,"Final","",Scopus,2-s2.0-85133599045
"Chen W., Zhang L.","57221304249;55271615200;","An automated machine learning approach for earthquake casualty rate and economic loss prediction",2022,"Reliability Engineering and System Safety","225",,"108645","","",,,"10.1016/j.ress.2022.108645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131694928&doi=10.1016%2fj.ress.2022.108645&partnerID=40&md5=6a5a7b848f834dc3347a6f00fe972d8a","This study presents an automated machine learning (AutoML) framework to predict the casualty rate and direct economic loss induced by earthquakes. The AutoML framework enables automated combined algorithm selection and hyperparameter tuning (CASH), reducing the manual works in the model development. The proposed AutoML framework includes 5 modules: data collection, data preprocessing, CASH, loss prediction, and model analysis. The AutoML models are learned from the dataset that is composed of earthquake information and social indicators. The optimal algorithm and hyperparameter setting of models are determined by the CASH module. A two-step model including a classifier and a regression model is designed for the casualty rate to address zero-casualty cases and also minimize their impacts on data distribution. The proposed AutoML framework is implemented on the seismic loss dataset of mainland China to demonstrate its practicability. A comparison study is conducted to show the high predictive abilities of the AutoML model compared with the traditional seismic risk model and other AutoML models. Models learned from the complete dataset achieve the ultimate performance compared with subsets that are composed of partial features. The model interpretation results indicate that earthquake magnitude, position, and population density are leading indicators for loss prediction. © 2022",Article,"Final","",Scopus,2-s2.0-85131694928
"Stauder M., Kühl N.","57247254200;57196220660;","AI for in-line vehicle sequence controlling: development and evaluation of an adaptive machine learning artifact to predict sequence deviations in a mixed-model production line",2022,"Flexible Services and Manufacturing Journal","34","3",,"709","747",,,"10.1007/s10696-021-09430-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114367971&doi=10.1007%2fs10696-021-09430-x&partnerID=40&md5=4f244202425ce7c94f3785f173a612c7","Customers in the manufacturing sector, especially in the automotive industry, have a high demand for individualized products at price levels comparable to traditional mass-production. The contrary objectives of providing a variety of products and operating at minimum costs have introduced a high degree of production planning and control mechanisms based on a stable order sequence for mixed-model assembly lines. A major threat to this development is sequence scrambling, triggered by both operational and product-related root causes. Despite the introduction of Just-in-time and fixed production times, the problem of sequence scrambling remains partially unresolved in the automotive industry. Negative downstream effects range from disruptions in the Just-in-sequence supply chain, to a discontinuation of the production process. A precise prediction of sequence deviations at an early stage allows the introduction of counteractions to stabilize the sequence before disorder emerges. While procedural causes are widely addressed in research, the work at hand requires a different perspective involving a product-related view. Built on unique data from a real-world global automotive manufacturer, a supervised classification model is trained and evaluated. This includes all the necessary steps to design, implement, and assess an AI-artifact, as well as data gathering, preprocessing, algorithm selection, and evaluation. To ensure long-term prediction stability, we include a continuous learning module to counter data drifts. We show that up to 50% of the major deviations can be predicted in advance. However, we do not consider any process-related information, such as machine conditions and shift plans, but solely focus on the exploitation of product features like body type, power train, color, and special equipment. © 2021, The Author(s).",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85114367971
"Brown N., South K., Wiese E.S.","57869871700;57869871800;56335976300;","The Shortest Path to Ethics in AI: An Integrated Assignment Where Human Concerns Guide Technical Decisions",2022,"ICER 2022 - Proceedings of the 2022 ACM Conference on International Computing Education Research","1",,,"344","355",,,"10.1145/3501385.3543978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137101813&doi=10.1145%2f3501385.3543978&partnerID=40&md5=a9a8496acfa84380cbe800148578c303","How can we teach AI students to use human concerns to guide their technical decisions? We created an AI assignment with a human context, asking students to find the safest path rather than the shortest path. This integrated assignment evaluated 120 students' understanding of the limitations and assumptions of standard graph search algorithms, and required students to consider human impacts to propose appropriate modifications. Since the assignment focused on algorithm selection and modification, it provided the instructor with a different perspective on student understanding (compared with questions on algorithm execution). Specifically, many students: tried to solve a bottleneck problem with algorithms designed for accumulation problems, did not distinguish between calculations that could be done during the incremental construction of a path versus ones that required knowledge of the full path, and, when proposing modifications to a standard algorithm, did not present the full technical details necessary to implement their ideas. We created rubrics to analyze students' responses. Our rubrics cover three dimensions: technical AI knowledge, consideration of human factors, and the integration of technical decisions as they align with the human context. These rubrics demonstrate how students' skills can vary along each dimension, and also provide a template for scoring integrated assignments for other CS topics. Overall, this work demonstrates how to integrate human concerns with technical content in a way that deepens technical rigor and supports instructor pedagogical content knowledge. © 2022 ACM.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85137101813
"Liu H., Xu J., Chen S., Guo T.","57191739222;37053056800;57863422200;57863689200;","Compiler Optimization Parameter Selection Method Based on Ensemble Learning",2022,"Electronics (Switzerland)","11","15","2452","","",,,"10.3390/electronics11152452","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136788162&doi=10.3390%2felectronics11152452&partnerID=40&md5=0ce5dd3a13cc030f5b9e58a51d96a02f","Iterative compilation based on machine learning can effectively predict a program’s compiler optimization parameters. Although having some limits, such as the low efficiency of optimization parameter search and prediction accuracy, machine learning-based solutions have been a frontier research field in the field of iterative compilation and have gained increasing attention. The research challenges are focused on learning algorithm selection, optimal parameter search, and program feature representation. For the existing problems, we propose an ensemble learning-based optimization parameter selection (ELOPS) method for the compiler. First, in order to further improve the optimization parameter search efficiency and accuracy, we proposed a multi-objective particle swarm optimization (PSO) algorithm to determine the optimal compiler parameters of the program. Second, we extracted the mixed features of the program through the feature-class relevance method, rather than using static or dynamic features alone. Finally, as the existing research usually uses a separate machine learning algorithm to build prediction models, an ensemble learning model using program features and optimization parameters was constructed to effectively predict compiler optimization parameters of the new program. Using standard performance evaluation corporation 2006 (SPEC2006) and NAS parallel benchmark (NPB) benchmarks as well as some typical scientific computing programs, we compared ELOPS with the existing methods. The experimental results showed that we can respectively achieve 1.29× and 1.26× speedup when using our method on two platforms, which are better results than those of existing methods. © 2022 by the authors.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85136788162
"Liu L., Liu J., Zhou Q., Huang D.","57225131025;56467579100;57222736460;57204391236;","Machine learning algorithm selection for windage alteration fault diagnosis of mine ventilation system",2022,"Advanced Engineering Informatics","53",,"101666","","",,,"10.1016/j.aei.2022.101666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132412251&doi=10.1016%2fj.aei.2022.101666&partnerID=40&md5=e19903c807719c38a02c9013ecb41035","Machine learning algorithms have been widely used in mine fault diagnosis. The correct selection of the suitable algorithms is the key factor that affects the fault diagnosis. However, the impact of machine learning algorithms on the prediction performance of mine fault diagnosis models has not been fully evaluated. In this study, the windage alteration faults (WAFs) diagnosis models, which are based on K-nearest neighbor algorithm (KNN), multi-layer perceptron (MLP), support vector machine (SVM), and decision tree (DT), are constructed. Furthermore, the applicability of these four algorithms in the WAFs diagnosis is explored by a T-type ventilation network simulation experiment and the field empirical application research of Jinchuan No. 2 mine. The accuracy of the fault location diagnosis for the four models in both networks was 100%. In the simulation experiment, the mean absolute percentage error (MAPE) between the predicted values and the real values of the fault volume of the four models was 0.59%, 97.26%, 123.61%, and 8.78%, respectively. The MAPE for the field empirical application was 3.94%, 52.40%, 25.25%, and 7.15%, respectively. The results of the comprehensive evaluation of the fault location and fault volume diagnosis tests showed that the KNN model is the most suitable algorithm for the WAFs diagnosis, whereas the prediction performance of the DT model was the second-best. This study realizes the intelligent diagnosis of WAFs, and provides technical support for the realization of intelligent ventilation. © 2022 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85132412251
"Adil S.M., Elahi C., Patel D.N., Seas A., Warman P.I., Fuller A.T., Haglund M.M., Dunn T.W.","56465590800;57203882417;57700299600;57041030000;57329546700;56521038300;7006603985;23988344800;","Deep Learning to Predict Traumatic Brain Injury Outcomes in the Low-Resource Setting",2022,"World Neurosurgery","164",,,"e8","e16",,1,"10.1016/j.wneu.2022.02.097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130326931&doi=10.1016%2fj.wneu.2022.02.097&partnerID=40&md5=d3b1de2d4e4ed95e929e4bde6ab8db5d","Objective: Traumatic brain injury (TBI) disproportionately affects low- and middle-income countries (LMICs). In these settings, accurate patient prognostication is both difficult and essential for high-quality patient care. With the ultimate goal of enhancing TBI triage in LMICs, we aim to develop the first deep learning model to predict outcomes after TBI and compare its performance with that of less complex algorithms. Methods: TBI patients’ data were prospectively collected in Kampala, Uganda, from 2016 to 2020. To predict good versus poor outcome at hospital discharge, we created deep neural network, shallow neural network, and elastic-net regularized logistic regression models. Predictors included 13 easily acquirable clinical variables. We assessed model performance with 5-fold cross-validation to calculate areas under both the receiver operating characteristic curve and precision-recall curve (AUPRC), in addition to standardized partial AUPRC to focus on comparisons at clinically relevant operating points. Results: We included 2164 patients for model training, of which 12% had poor outcomes. The deep neural network performed best as measured by the area under the receiver operating characteristic curve (0.941) and standardized partial AUPRC in region maximizing recall (0.291), whereas the shallow neural network was best by the area under the precision-recall curve (0.770). In several other comparisons, the elastic-net regularized logistic regression was noninferior to the neural networks. Conclusions: We present the first use of deep learning for TBI prognostication, with an emphasis on LMICs, where there is great need for decision support to allocate limited resources. Optimal algorithm selection depends on the specific clinical setting; deep learning is not a panacea, though it may have a role in these efforts. © 2022 Elsevier Inc.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85130326931
