Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Estiri, H., Strasser, Z.H., Murphy, S.N.","56073265200;57219792597;7402778470;","Individualized prediction of COVID-19 adverse outcomes with MLHO",2021,"Scientific Reports","11","1", 5322,"","",,,"10.1038/s41598-021-84781-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102186114&doi=10.1038%2fs41598-021-84781-x&partnerID=40&md5=99b4f33582384f7339e586c575879f7a",Article,"Final","",Scopus,2-s2.0-85102186114
"Stefana, E., Paltrinieri, N.","56507524600;6504465608;","ProMetaUS: A proactive meta-learning uncertainty-based framework to select models for Dynamic Risk Management",2021,"Safety Science","138",, 105238,"","",,,"10.1016/j.ssci.2021.105238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102079641&doi=10.1016%2fj.ssci.2021.105238&partnerID=40&md5=b549e99572ea89db98ca8e054eb1683e",Article,"Final","",Scopus,2-s2.0-85102079641
"Al-Kababji, A., Amira, A., Bensaali, F., Jarouf, A., Shidqi, L., Djelouat, H.","57204100672;23003399100;6506260453;57214654329;57216463744;57191832738;","An IoT-based framework for remote fall monitoring",2021,"Biomedical Signal Processing and Control","67",, 102532,"","",,,"10.1016/j.bspc.2021.102532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102129876&doi=10.1016%2fj.bspc.2021.102532&partnerID=40&md5=929b217e3f2dd665b91863214dd4e680",Article,"Final","",Scopus,2-s2.0-85102129876
"Kabaivanov, S., Roberts, K., Kovacheva, S.","57063255900;7402041957;6701671180;","Machine learning assisted social system analysis: Youth transitions in five south and east Mediterranean countries",2021,"AIP Conference Proceedings","2333",, 030002,"","",,,"10.1063/5.0041807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102743249&doi=10.1063%2f5.0041807&partnerID=40&md5=02bd0989d623eee734f3daade9918811",Conference Paper,"Final","",Scopus,2-s2.0-85102743249
"Vasey, B., Ursprung, S., Beddoe, B., Taylor, E.H., Marlow, N., Bilbro, N., Watkinson, P., McCulloch, P.","57217590652;57212195478;57222473650;57201513380;55884381900;57202534807;16070706600;57196887801;","Association of Clinician Diagnostic Performance With Machine Learning-Based Decision Support Systems: A Systematic Review",2021,"JAMA network open","4","3",,"e211276","",,,"10.1001/jamanetworkopen.2021.1276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102825936&doi=10.1001%2fjamanetworkopen.2021.1276&partnerID=40&md5=9c9c051510f1556786db238346b38308",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85102825936
"Malan, K.M.","6602259896;","A survey of advances in landscape analysis for optimisation",2021,"Algorithms","14","2", 40,"","",,,"10.3390/a14020040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100606798&doi=10.3390%2fa14020040&partnerID=40&md5=11ed91f8fa640cd7ebe67413d36aa227",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85100606798
"Sun, A.Y., Scanlon, B.R., Save, H., Rateb, A.","9279316500;7003345902;36060321300;57193404653;","Reconstruction of GRACE Total Water Storage Through Automated Machine Learning",2021,"Water Resources Research","57","2", e2020WR028666,"","",,1,"10.1029/2020WR028666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101481774&doi=10.1029%2f2020WR028666&partnerID=40&md5=8b04c4a958e5b625a15210429de05f3a",Article,"Final","",Scopus,2-s2.0-85101481774
"Muñoz, M.A., Kirley, M.","55499624900;6602345033;","Sampling effects on algorithm selection for continuous black-box optimization",2021,"Algorithms","14","1", 19,"","",,,"10.3390/a14010019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099785768&doi=10.3390%2fa14010019&partnerID=40&md5=b08258d794680dad9485730123138e71",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85099785768
"Marzec, M.","55902424000;","Monitoring temperature-related hazards using mobile devices and a thermal camera",2021,"Advances in Intelligent Systems and Computing","1186",,,"369","383",,,"10.1007/978-3-030-49666-1_29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091000197&doi=10.1007%2f978-3-030-49666-1_29&partnerID=40&md5=557b52a4a42a09352adca6210413db0a",Book Chapter,"Final","",Scopus,2-s2.0-85091000197
"Bertsimas, D., Orfanoudaki, A., Wiberg, H.","7005282772;57216889389;57193490175;","Interpretable clustering: an optimization approach",2021,"Machine Learning","110","1",,"89","138",,,"10.1007/s10994-020-05896-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089447323&doi=10.1007%2fs10994-020-05896-2&partnerID=40&md5=5b83c1f36f419a7d26629732e47d4e69",Article,"Final","",Scopus,2-s2.0-85089447323
